1528184700000,AQA,English Language Paper 1,1hr 45m,Exam Hall,G4
,EDEXCEL,Geography: Human Environment,1hr 30m,Exam Hall,D10
,AQA,Spanish Listening,0hr 45m,Exam Hall,D5
,AQA,Spanish Reading,1hr 00m,Exam Hall,D6
,EDEXCEL,Maths Calculator,1hr 30m,Exam Hall,G5
,AQA,English Language Paper 2,1hr 45m,Exam Hall,F8
,EDEXCEL,Biology Paper 2,1hr 10m,Exam Hall,G3
,EDEXCEL,Geography: Investigations,1hr 30m,Exam Hall,G12
,EDEXCEL,Maths Calculator,1hr 30m,Exam Hall,H12
,EDEXCEL,Chemistry Paper 2,1hr 10m,Exam Hall,G3
,AQA,Spanish Writing,1hr 15m,Maths Hall,E12
,EDEXCEL,Physics Paper 2,1hr 10m,Exam Hall,G3
